Query,Source,Title,N_Found,Method,P_value,Success
randomized controlled trial di,PubMed,"The Effect of Metformin on Insulin Requirement, Gl",51,text_extraction,0.004,Y
randomized controlled trial di,PubMed,Indobufen Versus Aspirin Plus Clopidogrel in Patie,1570,text_extraction,,Y
randomized controlled trial di,PubMed,Potential therapeutic benefits of curcumin in depr,1123,text_extraction,0.01,Y
randomized controlled trial di,PubMed,Insights Into How Digital Health Interventions Sha,16,text_extraction,,Y
randomized controlled trial di,PubMed,Feasibility of implementing an intervention in gen,,,,N
randomized controlled trial di,ClinicalTrials.gov,"The Effect of Metformin on Insulin Requirement, Gl",51,text_extraction,0.004,Y
randomized controlled trial di,ClinicalTrials.gov,Potential therapeutic benefits of curcumin in depr,1123,text_extraction,0.01,Y
randomized controlled trial di,ClinicalTrials.gov,Effect of Walking Exercise Training on Adherence t,60,structured,,Y
randomized controlled trial di,ClinicalTrials.gov,ASCEND: A Study of Cardiovascular Events iN Diabet,15480,structured,,Y
randomized controlled trial di,arXiv,An Outcome Model Approach to Translating a Randomi,,,,N
randomized controlled trial di,arXiv,Prognostic Adjustment with Efficient Estimators to,,,,N
randomized controlled trial di,arXiv,Predicting Counterfactuals from Large Historical D,,,,N
randomized controlled trial di,arXiv,Large-scale Virtual Clinical Trials of Closed-loop,,,,N
randomized controlled trial di,arXiv,High-performance Uncertainty Quantification in Lar,,,,N
cohort study cardiovascular,PubMed,GLP-1 RAs and Cardiovascular and Kidney Outcomes b,156,text_extraction,,Y
cohort study cardiovascular,PubMed,Effect of cumin and coriander seeds consumption on,,,,N
cohort study cardiovascular,ClinicalTrials.gov,Genotype Guided Comparison of Clopidogrel and Pras,4471,structured,,Y
cohort study cardiovascular,arXiv,Multi-level Phenotypic Models of Cardiovascular Di,1123,text_extraction,,Y
cohort study cardiovascular,arXiv,Bayesian feature selection in joint models with ap,15000,text_extraction,,Y
cohort study cardiovascular,arXiv,Integrated Oculomics and Lipidomics Reveal Microva,,,,N
cohort study cardiovascular,arXiv,A Bayesian semi-parametric approach to causal medi,,,,N
cohort study cardiovascular,arXiv,Combining longitudinal cohort studies to examine c,,,,N
case control cancer,PubMed,Metastatic Breast Cancer mHealth App to Promote Pa,25,text_extraction,,Y
case control cancer,PubMed,Patient and Physician Perceptions of Prostate-Spec,29,text_extraction,,Y
case control cancer,ClinicalTrials.gov,Validation of DNA Methylation Biomarkers for Oral ,300,structured,,Y
cross sectional survey mental ,PubMed,The Role of Chronic Disease Numbers in the Relatio,,,,N
cross sectional survey mental ,PubMed,Multiple Symptoms in Cancer Patients a Cross Secti,697,structured,,Y
cross sectional survey mental ,PubMed,"Epidemiology of Suicidal Ideation, Planning, and A",1810,text_extraction,,Y
cross sectional survey mental ,PubMed,"Consortium profile: the methylation, imaging and N",,,,N
cross sectional survey mental ,PubMed,Planning care for nursing-home residents: cognitiv,248,text_extraction,0.001,Y
